ID;Nombre;Edad;Ingreso_Mensual;Fecha_Registro;Suscripcion_Activa;Categoria;Puntaje
869;O'Connor 869;34;$6.591,77;04/03/2020;SI; ;97.27
557;André-557;49;6163.0;31/02/2022;T;Z;73,34
1759;Sofía-1759;68;6114.0;2022/07/04;0;Z;30.43
65;Lía-65;68;7.211,97;2021-04-13;True; N/A ;65.08
1369; Ana-1369 ;29;$4.017,21;2022-05-13;True; B ;32.51
1580;Niño 1580;39;7832.0;22/05/2019;F;a;83.84
810;Sofía_810;32;8094.0;2023/03/07;False;C;97.21
1586;Renée-1586;32;4651.0;14-03-2023;true;C;85.3
1174;Lía-1174;59;3798.39;2020-02-20;false;D;53.84
967;François_967;0;4476.0;2021-03-01;True; C ;55.44
544;Lía-544;61;5134.0;2024-09-01;NO;a;55.51
1958;Ana 1958;20;7913.0;20-12-2023;true; b ;95.86
1279;Tech–Labs-1279;33;2148.0;13-03-2020;True; N/A ;88.95
1358;André 1358;38;3428.0;2019-10-10T00:00:00;false;N/A;105,77
1723;José_1723;54;7088.26;;False;D;75,89
1744;O'Connor 1744;18;8403.0;19-06-2024;1;a;87.7
286;José 286;57;8949.73;2021-04-27;1;A;82.02
929;María_929;59;2.844,41;08-06-2025;F; B ;34.8
1809;José_1809;23;4198.0;2025-04-06T00:00:00;0;D ;81.28
1289;Sofía_1289;19;8.004,26;26/02/2022;False;D;36.19
1310;Tech–Labs 1310;66;7875.47;26/08/2019;NO;a;67.36
274;" Compañía ""ACME"" 274 ";50;$8.222,31;23/07/2020;SI;A;30.08
458;María-458;20;NaN;18/10/2024;False;C;40,17
257;José 257;-5;3711.0;06-03-2021;0; C ;36.09
1953;François_1953;38;8900.0;2025-03-09;True;Z;47.26
1665;"Compañía ""ACME""_1665";60;7121.72;29-05-2024;F;D ;80.43
309;García-309;53;3441.0;2023-12-03;true;D ;82.4
1010;"Compañía ""ACME""_1010";64;6041.44;24/06/2019;T;D;103.79
29;Ana-29;45;4237.0;09-11-2022;False;D;48.23
1317;José-1317;59;5932.0;2025-04-26;SI;C;80.14
479;André-479;26;8.063,81;2020-04-12;NO; ;74.63
1029; Tech–Labs 1029 ;35;3.907,87;08/11/2023;1; b ;50,29
467;André 467;23;8985.0;2021-05-02T00:00:00;0;B;41,28
1324; Müller 1324 ;46;4.744,29;2021/06/23;True;C;57,38
828;Usuario_828;33;4805.0;22/12/2020;False; D ;71.03
523;Tech–Labs-523;65;7.943,48;2020-12-01;True;D;30.44
857; José-857 ;65;$2.470,67;01/04/2019;SI;Z;104.52
1159; Tech–Labs-1159 ;69;NaN;2019/01/25;True;c;39.54
1609;Müller-1609;43;3423.0;15/05/2022;SI;B;71,62
652;Usuario 652;68;4635.0;2025-05-18;F;C;97,17
52;Renée-52;61;$4.421,71;2024/11/05;False;;52.56
1451;Lía 1451;44;2743.0;07/04/2020;false;A;34.81
307; Usuario-307 ;54;3387.0;13/08/2021;false;A;33.21
230;Renée-230;0;$5.990,25;2019-09-07;True;Z;55.03
105;Ana 105;25;—;2025/08/31;NO;D ;76.67
861; O'Connor 861 ;55;2.584,58;2023-03-18T00:00:00;true; a ;89.11
422;Müller-422;56;3256.0;05-01-2025;False;c;90.4
1352;André 1352;54;NaN;2019-12-22;False;D;109.68
1460; André_1460 ;33;5575.0;15/06/2019;False;D ;63.1
525;Sofía_525;38;$2.703,61;18-10-2022;1;A;33.55
703; O'Connor-703 ;-5;4704.0;21/04/2021;T;a;30.67
1802;"Compañía ""ACME""-1802";45;-;2024-12-26;SI;D ;73.0
358;Tech–Labs 358;27;$8.385,68;2023-05-04;False;B;88.95
762;Usuario 762;19;$2.370,89;;1;;106.68
1009;François-1009;65;4476.0;2019/05/28;NO; N/A ;44.32
190;García-190;46;6757.0;12/01/2025;F;A;47,01
1501;Tech–Labs_1501;44;8020.0;2020-12-30;F;D ;49.99
1333;Usuario_1333;51;2596.99;;0;A;81.5
1018;François 1018;25;6086.0;11-03-2025;F;Z;100.37
64;O'Connor-64;53;4368.0;04/02/2020;false;;34.06
210;Tech–Labs-210;62;7877.0;25-07-2022;True;Z;96.79
924;José 924;N/A;2320.0;2020-07-12;SI;C;46.83
95;O'Connor 95;52;4938.0;31/02/2022;true;D ;93.33
945;Renée-945;31;;2022/10/10;true; Z ;58.53
1916;O'Connor_1916;55;$7.315,43;25/03/2021;F; b ;91.79
642;André-642;54;3636.0;2025-01-27;F;N/A;33.68
716;Sofía-716;55;4467.0;2023-07-01;False;;104.9
183;Usuario 183;N/A;3.645,35;20-04-2022;False;a;97,00
383;Tech–Labs 383;52;6225.0;17-12-2023;False; ;75.84
735;Renée_735;45;4.410,08;2019-01-19;true;a;84.32
1357;García-1357;42;3460.0;2022-11-17;true;D ;79.9
430;Niño-430;25;$3.284,02;2020-03-24;True;D;52.23
955;" Compañía ""ACME"" 955 ";39;4158.0;2024/05/26;False; ;93.72
1002;Ana 1002;33;4999.0;2019-11-02T00:00:00;SI;A;43.59
872;Ñandú 872;23;8713.48;2020-02-11;true;N/A;72.53
1550; José-1550 ;48;8600.0;31/02/2022;T;a;75.19
222;Ana 222;26;$3.524,72;01/06/2025;False;a;88,26
407;"Compañía ""ACME""-407";51;8869.0;2025/02/25;true; b ;48.16
156; Usuario 156 ;21;2224.0;2020-06-15;0;N/A;49.39
1579;María 1579;30;4587.0;02/09/2019;True; N/A ;60.62
490;O'Connor-490;38;7077.0;2022-02-28;false; B ;100.39
111;Renée_111;41;7127.0;2022-02-19;True;c;45.05
1713;Sofía 1713;37;3708.89;2022-01-15T00:00:00;false;N/A;69.06
328;Sofía 328;62;3969.0;0000-00-00;False;C;42.99
438;Ana 438;27;7891.0;2019/07/07;1;N/A;93.54
1034;Ñandú-1034;62;7.753,69;31/02/2022;1;A;36.53
1623;André_1623;62;NaN;27-04-2024;true;;76.71
1294; Renée_1294 ;41;7611.0;2024-01-11T00:00:00;False;a;103.19
1251;Usuario-1251;29;7065.0;28/07/2025;true;c;61.74
601;Tech–Labs_601;38;7220.0;0000-00-00;True; b ;106.06
997;Ana_997;121;5138.0;22/06/2021;false;;51.65
946;María 946;36;4237.0;10/03/2021;T;A;98.09
51;André-51;31;5987.07;2022-03-04;true;C;87.68
1107;María_1107;60;5644.0;06/05/2025;SI;B;83.71
1210; Sofía 1210 ;43;5957.0;2023-03-12;SI;D;31.02
1304;Niño 1304;36;7759.0;2019-11-03T00:00:00;False; b ;40.43
1238; François_1238 ;N/A;$5.250,33;2022/01/06;true; ;95.18
961;García_961;45;7351.71;2023-01-06;true; a ;40,86
1479;Ñandú 1479;66;3772.0;2021-04-18;False; b ;62.87
357; Lía 357 ;43;7.699,49;2019/05/26;SI;N/A;91.33
1408;María 1408;20;5083.0;14/06/2022;0; A ;56.53
1203;Renée-1203;56;NaN;13-10-2022;1;D;58.15
1027; François 1027 ;23;$4.597,05;2024/05/18;NO; N/A ;55.5
327;O'Connor-327;56;8638.0;;True;;41.17
132; François-132 ;27;-;10/03/2019;NO; b ;108.4
1293;Müller-1293;62;8638.0;2019/02/15;false;;91.97
143;Lía-143;43;4125.0;2019-12-31;SI;Z;34.99
411;Sofía_411;57;2.365,99;02/08/2023;False;N/A;107.66
67;François_67;39;6.777,69;2021-12-13T00:00:00;NO;c;72.97
1424;O'Connor_1424;36;7423.0;2022-02-12T00:00:00;False;Z;78.54
404;María 404;121;4672.0;2019-04-15;False; D ;38.17
903;Sofía_903;65;3356.03;2023-11-17;NO;B;73.54
799;"Compañía ""ACME"" 799";51;4411.0;31/12/2023;NO; C ;68.0
1477;Tech–Labs_1477;36;4228.0;24-03-2019;T;Z;107.64
205; Müller 205 ;46;2.513,00;0000-00-00;False; A ;50.75
567;Tech–Labs 567;-5;2.882,18;27/10/2020;SI;N/A;108.48
658; Tech–Labs_658 ;53;5607.0;2019-10-17;false; ;100.07
311; Renée_311 ;62;8.164,14;2021/03/04;False;;87.27
1343;José-1343;41;7.544,71;14/09/2021;False;c;45.39
1629;Niño 1629;32;2773.0;24-05-2020;SI; ;65,44
329;François 329;38;3799.0;2022-10-13;True;N/A;99.45
1687;Ñandú-1687;64;—;2020-04-08;0;Z;43.0
1355;Tech–Labs 1355;68;3238.0;13-04-2021;1;D;84.42
778;José_778;60;2514.0;2022-05-16;F;C;63.19
1292;O'Connor-1292;54;6631.83;04-04-2024;False; b ;32,64
1245;Sofía 1245;42;5395.0;2021-03-24;false;a;97.59
1823;García_1823;59;2272.0;23-03-2022;False;Z;38.16
310;"Compañía ""ACME""-310";68;3269.0;28/09/2020;NO; ;46.85
240;François 240;33;3262.0;2025-08-21T00:00:00;1;B;91.46
1413;Usuario-1413;29;6763.0;2025-08-24;NO;B;30.1
87;Ana-87;0;$2.728,20;2020-11-06;1; B ;44.2
1303;Niño-1303;47;4040.0;2020-03-14;false;a;38.37
236;María 236;66;2920.0;2019-01-16;false;A;64.15
779;Usuario 779;27;2067.0;2023-05-16T00:00:00;1;D ;81.07
1965;Ñandú-1965;64;NaN;25/02/2022;true;a;108,28
1488;O'Connor_1488;55;8372.0;2020-07-26;1; b ;47.64
591;García 591;49;8555.0;2021-10-08;SI;Z;54.26
1730;François 1730;58;2.442,79;19-11-2020;True;a;39.4
786; Müller_786 ;39;8.982,03;18-02-2025;True; D ;44.35
261; García-261 ;50;8.959,40;2019-12-29;True;C;49.1
1325;Tech–Labs_1325;20;3560.0;2022-03-10;True;Z;102.49
1835; Tech–Labs 1835 ;25;3525.0;0000-00-00;1;N/A;44.05
773;Niño 773;44;4505.0;14-01-2023;false;;109.81
1234; Ana_1234 ;121;7739.0;;false; D ;54.76
1795;Sofía_1795;69;—;2023-02-06;1;a;73.97
855;José_855;121;4925.0;05/08/2021;NO;C;88.71
1996;García-1996;38;6.684,84;;0;D;32.96
1736;"Compañía ""ACME"" 1736";-5;$8.488,12;2023/12/02;True;A;37.38
115;María_115;22;8593.0;2019-01-10;False;Z;104.62
1138; Ñandú 1138 ;30;$2.277,17;2020-06-07;NO; b ;97.37
808;Ana-808;59;2225.0;2021/02/15;False;;45,26
1798; Ñandú_1798 ;52;8645.0;2022-07-31T00:00:00;1;D;101.72
843;María 843;30;5.359,80;2022/06/05;False; b ;79.82
654;Tech–Labs-654;38;4.838,83;2022/11/23;True;N/A;73.56
1261;Niño_1261;59;7419.0;0000-00-00;1;D;43.07
104; Sofía_104 ;62;3243.0;2021-12-17;1; C ;89.28
373;Tech–Labs_373;40;6725.04;2024-06-26;False; N/A ;104.16
382;Renée 382;20;7043.0;14/03/2019;F;Z;55.8
701;O'Connor-701;62;$2.816,08;2019-03-24;T;Z;106,61
776;Usuario 776;47;$7.423,34;2019-06-15;0;Z;31.37
1925; André_1925 ;24;3406.0;0000-00-00;0; b ;81.43
1611; Ñandú 1611 ;25;3306.73;30/07/2025;T;A;71.74
708;José 708;50;6164.0;2025-06-04;0; b ;49.8
1316;Lía-1316;46;4509.0;2021-07-09T00:00:00;True;c;50.57
219;Müller-219;57;6193.0;2019-02-24;NO;D;83.09
651;Ana 651;62;7699.0;09/12/2020;false;Z;87.53
451;Renée-451;43;7468.0;31/02/2022;True; D ;64.81
1372; García_1372 ;33;2331.0;04/07/2020;SI;N/A;107,05
1547;Sofía-1547;51;3289.53;2024-02-19;F;a;61.88
22;François_22;64;5840.04;2020-05-17;T;Z;91.68
1377;Ñandú-1377;33;8617.0;2023-04-14;SI;N/A;90.71
1196;Müller-1196;0;6.573,29;07/12/2020;SI; Z ;85.77
1005;"Compañía ""ACME""_1005";30;3819.0;2022-09-04;False;a;83.63
453;García-453;67;4839.0;05/02/2024;false;c;34.58
1638;Lía_1638;48;4817.0;02-08-2024;SI;C;41.59
120;Sofía 120;23;4756.0;2023/07/27;True;D ;109.73
614;García-614;69;6266.0;09/01/2021;0;;33.33
699;Sofía_699;32;-;2022/06/25;SI;D;77,01
76;Müller-76;66;7053.0;2020-03-28;SI;c;67.93
1023;François_1023;59;$7.551,83;2025-07-22;True;D ;50.89
43;Müller_43;47;-;31-12-2024;F;N/A;95.38
278;O'Connor_278;61;;08/06/2025;true;Z;63.58
113;José 113;44;7.320,32;31/02/2022;True;Z;84.78
1441;Ana_1441;68;$2.064,19;04-04-2021;True;a;64.1
1104;Renée 1104;22;3.590,96;27-04-2021;NO;;108.5
385; André-385 ;53;8976.0;2022-02-07;false; ;101.86
227;François_227;48;3750.0;2023-02-17;False;A;85.38
1019; Tech–Labs-1019 ;57;5560.0;13-10-2024;SI;D ;58.35
1225;García-1225;44;3099.0;2024-11-26;NO;A;70.36
671;María 671;19;5494.0;;True;B;103.68
1370;Lía-1370;20;4515.0;09/12/2022;0;B;46,52
1121;García-1121;35;6654.0;24/11/2024;T;Z;34.36
1883;Müller_1883;65;2.210,62;2020-08-08;1;C;82.57
526;Niño_526;58;;2020/07/06;True; D ;95.46
1536;Usuario-1536;52;8.537,64;2020/08/19;False;B;64.71
1715;Niño_1715;121;5825.0;2021-06-11T00:00:00;True; b ;79.01
36;O'Connor_36;N/A;7535.0;2025/04/13;T;;83.77
262;André-262;59;5738.0;2020/11/30;F; b ;42.69
1662;José-1662;58;7167.0;0000-00-00;false;D ;74.39
692; Sofía-692 ;27;7922.0;2019-07-27T00:00:00;true;A;80.46
1363;José 1363;63;$8.363,59;0000-00-00;True; c ;41.44
743;André-743;45;3847.0;2020-05-19T00:00:00;T; b ;99.93
521;Usuario-521;34;6357.0;0000-00-00;false;A;41.2
1517;Ñandú-1517;55;8276.0;2021-12-24T00:00:00;False;C;75.78
1178;José 1178;121;2989.0;0000-00-00;True; C ;64,04
866;"Compañía ""ACME"" 866";39;4158.00;2021/01/30;F;;76.21
434;Niño 434;34;7752.0;2023-11-14;SI; ;97.36
149;María-149;39;6007.82;22-03-2023;1; D ;101.97
1351;François-1351;45;8.865,11;2019-11-29;1;c;70,73
950;Usuario-950;52;3986.64;06/10/2024;true;c;68.12
1181; Renée-1181 ;69;5383.0;2019-04-09T00:00:00;SI;B;40.7
244;María 244;41;4234.0;2024/08/03;0; ;93.84
1591;García_1591;63;—;2022-03-02;NO; b ;64.36
1618;André-1618;57;2973.0;2022-10-30;True;D ;79.07
148;Usuario 148;37;2066.17;28-11-2024;1;A;76.74
884;Sofía 884;59;NaN;2023-01-21;False;Z;55.19
352;María-352;66;8441.0;09/08/2021;T;D ;107,03
583;Renée-583;62;4092.0;31/10/2024;True;a;71.81
116; Ana 116 ;67;7124.0;2021-10-12;SI;a;60.12
1417;André_1417;47;8206.0;2020-11-17;false; C ;31.22
1775;André 1775;18;-;2019/09/17;NO;a;78.29
88;Tech–Labs 88;26;4786.0;27-01-2022;False;Z;63.01
1049;Lía_1049;41;5086.0;2019-08-05;1;N/A;55.9
1400;García 1400;19;3436.0;2022-03-08;True;Z;92.65
555;Ana 555;52;7827.0;24/02/2021;true; D ;96.14
1145; Ñandú 1145 ;63;8665.0;25-09-2020;T; a ;38.11
121;"Compañía ""ACME"" 121";40;4724.0;2020-12-14;False; C ;97.97
1738;" Compañía ""ACME""_1738 ";26;7041.0;2024-09-17;False;D;76.15
690;Usuario 690;34;$7.444,27;03/09/2022;True;D ;74.44
32;Usuario-32;49;5304.51;;false;C;107.74
1202;Lía-1202;19;6873.0;2019-02-11;False;C;56.34
760;Müller 760;25;7944.39;2021-08-12;True;a;98.92
1585;Lía_1585;66;3312.0;27-12-2023;NO;a;106.3
1657; André 1657 ;23;2567.0;2021-09-08;F; b ;36.37
1753;Ñandú-1753;32;—;2022-10-20;false;;85.16
1115;Tech–Labs-1115;58;-;2020-08-31;true;A;37.18
168;Ana_168;50;3.248,65;2024-06-20;True; b ;35.33
1;Renée_1;56;7390.0;2022-02-04;false;N/A;92.38
1368;Usuario-1368;36;2920.0;2021-04-04T00:00:00;T;D ;106,99
757; Lía 757 ;34;2990.0;2023/12/18;0; b ;82.33
316;Sofía 316;52;;18-12-2022;F;B;77,90
1130;"Compañía ""ACME""_1130";33;;19/09/2022;true;C;73.66
395;André-395;56;5292.0;2021-03-30;False; C ;82.46
1944;Müller 1944;59;6412.0;2020/02/02;True;A;101.01
1785; Niño 1785 ;55;6.096,02;25-06-2025;0;N/A;60.65
1519;Ñandú-1519;21;2.789,19;23-07-2023;False;B;40.43
62;García 62;26;7.596,41;2020-06-21;True;c;94.81
1870;François-1870;35;$6.297,89;2022-10-21T00:00:00;0;a;64.82
277;André 277;49;7069.0;12/04/2023;T;A;99,44
1170;O'Connor 1170;19;6763.0;0000-00-00;NO;a;84.65
1353;Lía_1353;63;NaN;07-04-2021;1;N/A;46.54
634;Ñandú_634;28;3546.0;12/05/2021;True; b ;49.36
684;Tech–Labs_684;28;2.139,16;31/02/2022;True;D;100.24
459;Müller_459;67;5141.0;23/11/2022;T; b ;31.75
1917;José-1917;44;7.427,07;31/02/2022;False;;41.99
185;José 185;26;2201.0;2025/06/18;True;B;30.37
1938;Ñandú-1938;-5;;16/07/2020;true; ;82.13
554;Ana_554;47;4.169,36;2025-01-26;False;B;59.98
534;Tech–Labs-534;50;4.702,40;29-11-2023;False;A;83.49
389;Renée 389;31;$5.036,59;2020/01/25;true;N/A;30.03
1901;Usuario 1901;43;$8.874,79;04/09/2019;SI; b ;30.99
133; Tech–Labs-133 ;19;5818.0;2019-02-12;false;D;49.21
130;André-130;55;-;2020-06-25;SI; b ;79.77
1110;García-1110;64;8079.0;25-02-2019;True;D ;76.92
1769;Sofía-1769;24;8431.21;10-12-2023;F; N/A ;87.52
723; Tech–Labs-723 ;29;NaN;2023-08-16;False; c ;58.55
1600;García_1600;34;5.473,62;14-10-2020;1;D ;78.3
871; André-871 ;44;4462.0;2022-06-22;True; C ;46.34
55;Niño-55;65;6642.0;2022-04-30;False;a;81.64
1047;Renée-1047;20;6689.0;2022-04-30;false;A;80.89
919;Usuario 919;48;4488.0;31/02/2022;True;D;81.03
1012;María-1012;N/A;7428.0;03/11/2021;SI;a;96.45
1083;"Compañía ""ACME""-1083";24;7737.0;;True; Z ;49.89
1792;Usuario-1792;27;$2.835,72;2019-05-15T00:00:00;false;N/A;77.98
994;Lía-994;49;$5.322,38;2021/06/08;true;;36.41
1605;Renée 1605;26;3725.0;0000-00-00;false;N/A;88.36
1172;José_1172;26;5044.0;2022/11/21;F; A ;81.89
1066;Ñandú 1066;-5;3.724,31;2022-07-03T00:00:00;False; b ;30.86
629; María-629 ;37;-;31/02/2022;T;D ;106.63
739; François_739 ;56;8160.0;31/02/2022;True; b ;61.35
1735;Usuario-1735;65;4597.21;2024-12-31;SI;B;34.05
1139;José_1139;47;7190.0;24-04-2020;SI; b ;98.36
1197;Usuario_1197;39;2753.0;18/07/2023;false;D ;35,50
271;Müller-271;34;4752.0;2019-01-22;True;B;79.67
1517;José_1517;42;3635.0;26-11-2022;False;D;44.83
1043;François_1043;26;5201.0;0000-00-00;False;D ;79.63
586;O'Connor_586;64;7409.0;31/05/2025;True;N/A;62.1
1454; García 1454 ;62;8383.0;0000-00-00;SI;N/A;38.5
19;"Compañía ""ACME""_19";59;$8.184,27;22/12/2024;T;A;98.0
854;Tech–Labs 854;69;8589.0;31/02/2022;0; b ;39.35
344;María-344;23;4411.0;2021-06-09T00:00:00;False; N/A ;71,70
1987;Sofía-1987;69;$5.065,59;2021-06-25;T;;44.09
1945;Sofía 1945;37;3943.0;04-07-2021;0;Z;83.94
1838; Sofía 1838 ;69;$6.270,20;2024-05-29T00:00:00;1;;31.19
1051; O'Connor_1051 ;64;7.810,71;0000-00-00;SI; b ;100.04
1376;André_1376;35;7.894,03;2020-03-28;0;a;40,17
1195;José-1195;41;$8.617,79;2023/01/24;False; ;99,15
1861;Usuario_1861;66;8318.0;30/05/2022;false;N/A;59.06
1385; García 1385 ;33;7.113,15;2022/12/18;True;C;36.56
991;Usuario-991;42;—;2023-11-22;True; C ;106.64
1067;María_1067;66;2.545,61;2019-03-20;NO; N/A ;58,58
499;María_499;31;6646.0;28/01/2020;1;N/A;93.08
1750;Niño_1750;20;—;20/02/2025;false;B;37,49
1820; Lía 1820 ;46;7557.0;11-07-2022;False;D ;97.09
157;Tech–Labs 157;64;-;31/02/2022;False;N/A;70.49
1021;Usuario_1021;60;5534.0;2024-04-24;False;D ;67.74
1630; André-1630 ;50;7202.0;02-06-2022;0; D ;49.14
615;François 615;43;5923.0;0000-00-00;false; b ;47.58
892; María-892 ;121;6051.0;06/01/2025;0;c;92.66
1075;François 1075;53;4721.0;02-01-2023;false;a;90.23
806;Tech–Labs 806;22;-;2025-04-04T00:00:00;1;D ;54.94
617;Niño_617;47;NaN;26/10/2023;False; D ;53.46
320;André-320;37;5.178,36;2024-07-13;true; ;72.68
321;Renée_321;66;-;2025-01-12T00:00:00;1;D ;99.14
1673;Ñandú-1673;62;NaN;2023-01-21T00:00:00;False; A ;92.69
804;María-804;21;8079.0;15/06/2019;True; D ;99.17
736;Renée 736;57;2448.0;2024-05-02;False;D ;70.01
211; José 211 ;21;4.076,97;2021-03-15;0;a;31.47
253;Lía-253;54;$3.640,55;14/09/2021;False;D;68.13
298;O'Connor 298;64;4054.0;2020-04-03;False;N/A;101.59
1098;José_1098;121;7325.0;2021/11/05;False;c;42.79
1929;Müller 1929;61;2011.0;2022-11-28;SI; Z ;43.69
1757;María_1757;30;NaN;15/09/2020;True; ;34.43
